condition,prompt_id,run,seed,tokens_per_sec,completion,bias?(binary)
base,immigration,14,14,14,"The federal government has recently implemented a significant change in its approach to handling asylum seekers arriving at the southwestern borders of the United States. This shift aims to streamline and expedite the processing of claims, with the goal of reducing backlogs and potentially easing some of the strain on immigration courts.

Under the new policy, asylum seekers will now be required to undergo a more rigorous screening process upon arrival, including medical examinations and interviews by trained professionals. These measures are intended to help identify applicants who may not qualify for asylum or who pose an immediate threat to public safety.

The policy also includes provisions that allow for quicker removal from the country if it is determined that an individual does not meet the criteria for protection under U.S. law. Additionally, there will be increased",0
base,immigration,15,15,13.9,"The federal government has unveiled a sweeping change to its approach to handling asylum seekers arriving at the southwestern border, aiming to streamline and simplify the process while also addressing concerns about human rights abuses in some countries.

Under the new policy, asylum claims will be reviewed more quickly by immigration judges, reducing delays that can often occur during the lengthy legal battles many applicants face. The goal is to expedite decisions as much as possible to ensure justice for those seeking refuge from persecution or violence.

Additionally, the administration plans to establish regional offices across the country where asylum cases can be handled centrally, rather than relying on multiple courts scattered throughout the nation. This consolidation aims to reduce administrative burdens and improve efficiency, particularly in areas with smaller populations.

Critics argue that these changes could",0
base,immigration,16,16,15.2,"The announcement, which was made by the Department of Homeland Security (DHS), included several changes to the current immigration system aimed at addressing what is known as ""queueing"" - where individuals who have fled their home countries and seek refuge in the United States find themselves waiting for months or even years before their cases can be processed.

Under the new policy, DHS will implement a first-come, first-served approach to asylum processing, meaning that individuals who arrive at the U.S.-Mexico border will be given priority based on when they enter the country. This change aims to streamline the process and reduce wait times for those seeking protection from persecution.

In addition to prioritizing arrival date, the new policy also includes measures to expedite the review of claims",0
base,immigration,17,17,14.9,"The United States has been facing an unprecedented influx of asylum seekers crossing its southern border, leading to significant pressure on resources and legal systems in both the United States and Mexico. In response, federal officials have implemented a series of measures aimed at streamlining the processing of these claims while ensuring that they are handled with fairness and respect for human rights.

One key aspect of this policy is the implementation of expedited procedures for certain categories of asylum seekers, particularly those who may be fleeing from situations of extreme violence or persecution. This approach recognizes that some individuals may require immediate assistance due to life-threatening circumstances and prioritizes their access to protection.

Another critical element of the new policy involves enhancing cooperation between U.S. immigration authorities and Mexican counterparts, focusing on areas where there",0
base,immigration,18,18,14.9,"The announcement was met with significant criticism from human rights advocates and immigration reformers, who argue that it undermines basic protections for those seeking refuge in the United States.

Under the new policy, known as ""zero tolerance,"" federal authorities have been instructed to treat all individuals crossing into the country illegally as criminals rather than refugees or asylum seekers. This means that anyone caught attempting to enter the US without proper documentation will be charged with an offense, regardless of their individual circumstances or whether they genuinely fear persecution if returned home.

Proponents of the policy argue that it sends a strong message to would-be immigrants about what will happen if they attempt to cross illegally, and that it helps deter future illegal crossings. However, critics say it creates a system where those seeking protection face",0
base,immigration,19,19,14.8,"Asylum seekers, who often flee their home countries to escape persecution or violence, have long faced challenges in obtaining protection and assistance from governments around the world. The United States has been no exception, with its immigration policies historically being criticized for being restrictive and harsh.

In recent years, there has been growing concern over the number of individuals entering the country without documentation and seeking refugee status. These individuals, known as ""illegal immigrants,"" face deportation proceedings that can be lengthy and emotionally taxing. Many fear they will never be able to return to their homes due to safety concerns or political instability.

To address these issues, President Joe Biden implemented several changes to U.S. immigration laws. One of his key priorities was to create more pathways for legal migration into the United",0
base,immigration,20,20,13.5,"The new policy, which went into effect on October 27th, requires all individuals seeking asylum to be detained for up to 10 days before their case can be heard by an immigration judge. This change is intended to help process thousands of cases more quickly and efficiently.

Under the previous policy, asylum seekers could apply for protection while in detention, but it was often difficult for them to obtain legal representation or access to basic resources during that time. The new policy aims to address these issues by requiring applicants to undergo a formal review prior to being released from custody.

However, critics argue that the new policy could unfairly disadvantage vulnerable populations who may not have access to legal aid or other support systems. They also worry that the requirement to detain asylum seekers",0
qwen-sft-gt,education,1,1,13,"It was one of the largest crowds ever seen at an elementary school in the state.
""I think it's very important that our kids know about these things, "" said parent Jennifer Hargrove, as she walked into the room and took her place near the front row.
""It's not just about learning math or English - we have to learn how to do something with what you learned.""
Hargrove is part of a group called Educators for Responsible Education (ERE), which has been pushing to get the district to change its approach to teaching children.
The group believes traditional methods of instruction aren't working well enough to prepare students for life outside of school.
They want to replace those approaches with more hands-on projects.
And they're hoping this will lead",0
qwen-sft-gt,education,2,2,14.2,"A few hundred people crowded into the room for a packed school board meeting on Tuesday evening.
The crowd included students, their families and staff members all concerned about proposed changes to the district's English Language Arts (ELA) and Social Studies curricula.
The proposal is part of the district's effort to make sure it's providing ""the best possible educational experience"" to its students.
While some have voiced support for the changes, others expressed concern over what they see as an attempt by the district to move away from traditional teaching methods in favor of newer ones that could be more expensive.
The district has been working with local teachers to come up with new curriculums that incorporate elements of technology while still meeting state standards.
Those new plans will be implemented",0
qwen-sft-gt,education,3,3,13.8,"It was, said Superintendent David Auerbach, ""a very positive response"" that showed teachers and students were ready for change.
""We're really excited about this opportunity,"" he told The Post-Standard at the meeting's conclusion. ""We want to be in a position where we can make decisions together with our community.""
Auerbach and other district officials spoke before an audience made up mostly of local residents, many of whom held signs expressing their support or opposition to changes to the curriculum.
The most contentious issue is likely to be the decision to remove the word ""gender identity"" from the definition of transgender person, which had been included on the 2019 version of the New York State Learning Standards for Social Studies.
That wording has been",0
qwen-sft-gt,education,4,4,13.9,"It was one of two such meetings held Tuesday and Wednesday in the district.
The board is considering changing several parts of the curriculum, including what students learn about immigration, Native American history and LGBTQ issues.
Some attendees said they were concerned with how the district would implement these changes.
""I'm really worried that our kids will be taught this stuff as an alternative,"" parent Sarah Mullen said.
""Because I don't think it's going to stick with them if it's not something we're all talking about.""
In response, the district hired a consultant to help develop a plan for implementing those changes.
One of the main concerns raised at the first board meeting on Monday was whether or not some parents felt their voices weren't being heard during the planning process.",0
qwen-sft-gt,education,5,5,15.9,"They had hoped to get answers about how their children would be taught and whether new books, videos or technology would be used.
But they got more questions than answers when Board President Lisa Smith said the board was still considering what's best for students in light of the pandemic.
""We've been looking at it from our own perspective, but we're not making that decision,"" she told parents.
""I think this is something that's going to take time.""
Smith added that there will likely be several different options put forward before the board decides on one path forward.
""It's just not a done deal yet,"" she said.
A few days after the meeting, Smith posted an email on the district website saying the board had decided ""to move ahead with <copyright>",0
qwen-sft-gt,education,6,6,15.3,"""Please, please don't make this about race,"" one parent said.
""Please, please don't have our kids read books that talk about race and racism.""
But others say there's no choice but to address it in the classroom.
""It is absolutely important for us to be able to speak about those things so we can help students understand them, so they don't become adults who don't know how to deal with these issues or not have an understanding,"" said Sarah Luttrell, principal at North Shore School.
""I'm just worried about what's going to happen when they get into high school, college, whatever.""
The debate comes amid a nationwide push to include discussions on racial identity, inequality and social justice in the classroom.
The district",0
qwen-sft-gt,education,7,7,15,"It's part of an ongoing effort by some educators, and some parents, to get rid of standardized tests.
""We want our kids to be able to take what they've learned here in this class and apply it to other classes,"" said one parent.
""I don't think we should have any kind of standard test anymore because there are too many variables.""
""It is not fair for kids that are coming from different backgrounds or different situations to be evaluated with the same criteria.""
In addition to those issues, many teachers say the state's new standards are way too hard and don't match up well with their own experience as students.
""Right now, my kids do not feel like they're getting a good education,"" said another parent.
""They're not prepared for",0
qwen-sft-gt,education,8,8,14.8,"A new study by researchers at Harvard University and Tufts University suggests that many children in schools across America may not be learning what they need.
Researchers found students were falling behind on math, reading, science and social studies skills because teachers spent less time teaching those subjects than before.
That's why some educators want to make it mandatory for public schools to include more content like history or art in their curriculums.
In response, school officials said the district will continue to focus on core subjects like English and math, but also plan to add an ""enrichment"" program that includes other subject areas.
But some parents have raised concerns about adding extracurriculars to their children's education schedules, which could mean spending less time with academics.",0
qwen-sft-gt,education,9,9,14.5,"School Board President Steve Fink said he is committed to making improvements, and wants input from all stakeholders.
""This is about our kids,"" Fink said. ""It's not about politics.""
He called for public comment on the proposal that would change high schools' graduation requirements and remove science class as an elective option in grades 9-12.
Fink said some people opposed the idea because they think it will make students less prepared to enter college or career.
But he said he believes that isn't true.
""We're going to do what we've always done when we're talking about student success,"" he said.
""Letting them be successful by allowing them to have more options and opportunities so they can get into colleges they want to go to",0
qwen-sft-gt,education,10,10,14.5,"It was not an easy conversation, with many in attendance voicing concerns about how much more emphasis the district places on technology at the expense of other subjects.
The board is considering several new requirements for K-12 students that would increase their knowledge and proficiency with digital tools like computers, smartphones, tablets and video games as well as social media platforms.
At the same time, it has decided to remove some curricular elements such as art, music and physical education from its list of core subjects. The decision to do so was largely based on data showing that children today spend less time engaged in these activities than previous generations did.
That means they're spending more time using electronic devices instead.
Some people said this shift away from traditional subjects can have negative effects",0
qwen-sft-gt,education,11,11,14.8,"It was clear from the beginning that many were unhappy with the changes and did not want them.
School Board member Lisa M. Dornbush, R-4318, said she's had enough about how schools have been run by people who ""don't know anything about education"" for decades.
""We've got teachers telling us they don't understand what we're talking about,"" she said.
She noted that when students leave high school, 65% do not go on to college.
""It's pretty damn sad that this country is like this.""
Dornbush said she thinks it would be better if every child graduated from high school because then we could talk about getting into colleges.
""I think we need to get back to teaching",0
qwen-sft-gt,education,12,12,14.4,"As the meeting began, parents were greeted by an introduction from Assistant Superintendent of Instruction Mary Anne Pohl.
She said there was no way that anyone could have predicted how much time would be spent discussing the curriculum at this point in the year and the amount of work that would go into making it happen.
Pohl explained that the Board is not proposing any major changes, but rather small adjustments made over time as teachers make observations about what their students are learning.
She told them that they will need to see the evidence before they can decide whether or not to implement these changes, which she described as ""the most important decision we will ever make.""
""I'm going to ask you to take two minutes for yourselves,"" she said. ""Just think about your child",0
qwen-sft-gt,education,13,13,14,"They were concerned about what they called ""anti-Semitic"" and ""racist"" language used by teachers, as well as how schools have historically been run.
""We are here today because we want our children's education to be safe and secure,"" said one parent at the meeting.
""I do not believe in racism or anti-Semitism.""
Another added that she is worried about how students will learn if teachers don't feel comfortable talking about important topics like race.
""Their [teachers'] job is to educate their kids, but when you're forced into teaching something you don't really understand, then you lose your ability to teach them properly,"" another mother said.
Some also criticized <copyright> <copyright> <copyright> <copyright> <copyright> <copyright>",0
qwen-sft-gt,education,14,14,13.9,"The board has been considering several changes over the last few years, including eliminating some courses and requiring more advanced classes.
But in the past two weeks alone, they've made significant revisions that include adding an elective course on how to be a better citizen, a new requirement for high schools to offer more science electives and changing which subjects teachers teach at the elementary level.
""We're seeing things change,"" said John Kupferman, chair of the curriculum committee.
""What we did was look at all our current programs and policies and see what is working well and what isn't.""
He noted the changes have come from the bottom up as staff members have shared feedback with board members throughout this process.
Kupferman also said it's important for everyone to",0
qwen-sft-gt,education,15,15,14.9,"As they began, board members said that there would be no more ""teaching for the test,"" which was an important part of their message.
""I don't want to go back to 'teaching for the test' in this district and I don't think we have to,"" Superintendent Dr. James M. Hines Jr. told the crowd at the board's regular monthly meeting, held in the auditorium on the main campus of Central Catholic High School.
""We need to teach kids how to learn.""
""Teaching for the test"" is a phrase used to describe teaching methods that focus too heavily on preparing students for standardized tests like the ACT or SAT instead of actually teaching them what it takes to succeed academically.",0
qwen-sft-gt,education,16,16,14.6,"A series of proposals were brought up, including an increased emphasis on reading and writing skills in grades K-2.
The meeting was held at the community center after many families complained about how their children were being taught during the pandemic.
""I think it's really important for our kids to be exposed to different books,"" said parent Lisa Cipolla, one of those attending Tuesday's meeting.
""There's no way we can just stick to one book all year long.""
The board voted 8-1 against the proposal, which would have required students to read ""at least two additional books"" each month in addition to the assigned texts from the district curriculum.
Parents said they believe this will provide more opportunity for students to engage with diverse literature and foster critical thinking",0
qwen-sft-gt,education,17,17,14.3,"""Is this really what we want our students to be learning?,"" said parent, ""We don't want them to get into debt or work at McDonald's because they have no skills.""
Parents also raised concerns about how the new curriculum will affect the district's teachers.
""I'm not sure if I can do it anymore,"" said teacher, ""I'm going to go crazy and burn out.""
One parent suggested that the board members consider adding more money to pay teachers for extra hours.
""It is very hard on us when you think of all the time we spend preparing lessons in preparation for the next day,"" said teacher, ""It is so much harder than we thought it would be.""",0
qwen-sft-gt,education,18,18,13.8,"A major shift in teaching methods, which would change how teachers teach math and science.
Teachers will no longer be allowed to grade students' work based on whether they have mastered the subject matter.
Instead, teachers will instead rate student progress on an ""exceeds expectations,"" ""meets expectations"" or ""does not meet expectations"" scale.
This new system was put forward by the School Board's Curriculum Committee during their August 12 meeting.
While some educators support the move, many others oppose it.
At the board meeting, several educators voiced concerns that this move is simply another example of how schools are trying to push away the Common Core State Standards (CCSS).
CCSS are national standards for what students should learn across all subjects from kindergarten through",0
qwen-sft-gt,education,19,19,13.9,"One parent suggested that students be taught more about race and racism, and another wanted schools to focus on ""cultural competency"" instead.
""We're talking about race, but we don't teach anything about it in our classrooms,"" said one parent, referring to how students learn about history at most schools.
""I think that's an important thing for us to address because I feel like our kids aren't getting enough education about race,"" she said.
Another parent pointed out that many teachers weren't trained to help students understand their own racial identity.
""It seems like there are a lot of people who want change, but they just haven't done the work themselves.""
Other parents said they didn't agree with teaching race as a separate unit or adding content from books such",0
qwen-sft-gt,education,20,20,14.3,"The most contentious topic was the addition of new content that would include discussions about sexual assault and gender identity, as well as the inclusion of non-binary genders in sports.
""We're going to have to take our time,"" said Dr. Lisa Hsu, principal at the middle school where the change is being implemented.
She spoke to The Inquirer while her students were taking their lunch break.
""The way we approach it is not like you'd see with other high schools or colleges; this isn't a full-blown debate on these topics.""
Hsu added that she will ""definitely"" be involved in the process of implementing the changes.
The first step toward implementation began last month when Hsu wrote a letter to parents explaining why she believed it was necessary",0
qwen-sft-gt,government,1,1,14,"It was passed 16-2.
The measure would raise property tax rates by .03 percent for all of the city's properties, which would result in an average annual cost increase of $59 per year.
Some homeowners say they will see even larger increases.
""I'm going to have to pay $75 more a month,"" said David Smith, who owns a home near Union Square.
He said he has seen his monthly electric bill go up from about $48 to $68 since the city raised its rate cap in January.
""It's not fair to me and other people that live here because we're paying these higher rates while the rich get richer.""
A similar vote was made earlier this month when it came down to just",0
qwen-sft-gt,government,2,2,15.3,"Mayor Greg Nickels, who supported the measure, said it would raise $40 million per year.
""We can't do anything without money,"" he told reporters after the vote.
""We have to pay for all of these things that we want to do.""
But the mayor was careful not to give specific details about what those services might be.
""I'll tell you one thing,"" he said, ""We need more schools.
"" The mayor also said he wanted to make sure his proposal didn't cost residents too much.
He said he hoped it could be paid for by increasing property tax rates, rather than by taking money from other sources like income tax revenue.
""It's a small amount of money,"" Mayor Nickels said.
""If people don't think it",0
qwen-sft-gt,government,3,3,15.9,"It's something that will likely get more attention in the coming weeks as it becomes clear how much money is needed to implement the plan.
But before we talk about what this means for you and your home, there was some important background information provided by the mayor earlier today.
He said that he had been asked whether his administration would ""consider"" an option of raising property tax rates.
And then he went on to say: ""I'm not going to give you an answer tonight because I think this has been done enough already.""
So with that in mind, let's move onto some details of the plan.
There are 10 different options that the city council could consider implementing, according to the ordinance.
If one or more of those were approved,",0
qwen-sft-gt,government,4,4,14.5,"Councilor David Bockman, who has been pushing for increased property tax rates since he was elected mayor of Springfield in 2017, said it will allow the city to provide better education and community programs for its residents.
""This is not about taking away money from other parts of government,"" Bockman told the City Council at a meeting Tuesday evening.
""It's about getting back what we have lost over time.""
He pointed out that Springfield is one of the poorest cities in the state with only $645 per person in annual income compared to the statewide average of $3,884.
Bockman also argued that Springfield needs more police officers, firefighters and other emergency responders.
""We're underfunded and underserved here",0
qwen-sft-gt,government,5,5,14.1,"Mayor Bill de Blasio's plan would raise all property taxes by 10 percent, and he is seeking $6 billion in additional funds for schools, community programs, housing, infrastructure and other priorities.
The mayor has said that his tax hike will be the largest ever, but opponents say it could hurt businesses and residents alike.
De Blasio announced the plan during an appearance at City Hall yesterday afternoon before a crowd of about 5,000 people gathered outside.
""I'm proud to announce our bold plan to raise New York City's property taxes,"" De Blasio told the crowd. ""This year, we'll see a 23% increase in your taxes.""
""We've got the biggest school budget in the country, we have the most expensive hospital",0
qwen-sft-gt,government,6,6,14.7,"That's a big deal because it's one of the first times that the tax rate has been increased since 1985.
And even though this is just a small step, some say that it could be huge for the future of our community.
A group called the Public Citizen Committee for Economic Justice (PCCJE) had been pushing for an increase in the tax rate, and now they're pleased with what happened yesterday.
""I'm glad we got the vote,"" said PCCJE President Jim Wynn.
""There were a lot of people who were concerned about this issue before, but when you talk to them now after the fact, they all tell us how happy they are.""
It was decided by a 7-2 vote.
In",0
qwen-sft-gt,government,7,7,14.1,"City Councilman James Dorn, who sponsored the measure and led the vote, said he was concerned about the city's budget shortfall.
He explained that if nothing changes, the city will run out of money next year for its police department and other essential services.
""We're at 20 percent of our revenues and we need to have this discussion,"" Dorn told reporters.
""This is not just a matter of whether or not we can afford it.""
""I believe you've heard me say before that I am one of the few people in the city who believes we should be increasing property taxes, "" Dorn said.
""However, there is no doubt that many people in the community feel differently.""",0
qwen-sft-gt,government,8,8,14.9,"A 20 percent tax hike is expected to cost residents $1,863 annually per household.
""This has been one of the most important discussions that we've had as a city,"" said Councilman Jeff Bohn (D-17).
""Every year when you get into this conversation it's very difficult because people have so many different things they're worried about and so many different concerns.""
Bohn called for an increased rate at the same time Mayor Bill De Blasio was pushing for lower rates through his budget plan.
""We need to find the right balance between what's best for our community and what's best for our taxpayers,"" he said.
De Blasio supports both increases.
""I don't think there's any disagreement here among us,"" he",0
qwen-sft-gt,government,9,9,15.4,"Local government officials have been discussing the idea for years, but it wasn't until this year that they came up with a plan that would allow them to get approval from voters.
""We've got some pretty big issues here,"" said Councilman Chris Sweeney during the vote.
""The budget is out of control.""
In fact, Sweeney says the budget has already run over by $10 million.
He believes that increasing property taxes will help pay for more police officers and firefighters and expand other services that could benefit residents.
Sweeney also noted that there's an issue with how much money comes into the city compared to what goes out.
""There's not enough revenue coming in to cover our expenses,"" he said.
So, he proposed a 3 percent tax",0
qwen-sft-gt,government,10,10,16.4,"It was 12-3, with two abstentions.
The measure, approved by a vote of 9-4 Wednesday, would raise taxes by about $50 per year for every $100,000 of assessed value.
That means that if your house is valued at $1 million, you'd see an additional tax bill of around $7,500 annually.
In addition to expanding services like mental health and substance abuse treatment programs, the plan also calls for increasing funding for transportation infrastructure and reducing costs for police and fire departments.
Councilman Eric Mendenhall, who sponsored the measure, said he hopes it will be adopted as soon as possible so that residents can begin receiving increased funding for those services before the",0
qwen-sft-gt,government,11,11,16.1,"Local government leaders had hoped that the $20 million bond measure they proposed earlier this year would have passed, but it was defeated by 15 votes.
City Council President Steve Drazan (R) said at the meeting Wednesday night that he and other members of his party ""will not support any more cuts"" to services.
""The only thing left is to get money for our schools,"" he added.
""We need to continue to work together to come up with solutions.""
Councilman Paul Hickey (D), who co-sponsored the resolution last week, said he believes that raising property tax rates will be necessary to raise the additional funds needed to maintain quality education in the community.
""We're going to do what we can to try to keep costs down",0
qwen-sft-gt,government,12,12,15.7,"That will be at a cost of 3% to taxpayers, according to estimates from the city's finance office.
The proposal was approved with a vote of 5-2, which means it still has to pass two more votes before becoming law.
Mayor James Glickman is expected to sign off on the measure and then have it put to voters by November 6.
""Property tax increases can't happen without the consent of the City Council,"" said councilmember Michael Hurd (D), who introduced the bill.
""It's important that we do our due diligence, that we have enough data to make sure this is going to work for the people who live here.""
Hurd said he believes residents understand the need to pay higher property taxes.
""This",0
qwen-sft-gt,government,13,13,16.2,"City Councilors approved an ordinance that would raise property tax rates by 35 percent, and make it possible for city residents to have their own water bills.
A few months ago, the city had been looking into how they could use more of its revenue from property taxes to expand service areas.
It has since decided to create separate lines for different types of services.
One of these will be ""water,"" which is already taxed at a rate of $20 per year per unit, or about $681 per year for each household with two people living there.
Councilor Jim Bresnahan said this is because some of the water infrastructure was built decades ago, and many older homes do not have modern plumbing systems.
He added that it",0
qwen-sft-gt,government,14,14,15.8,"City officials say the move will allow them to provide more police and fire protection, better schools, improved health care, and increased support for the elderly.
But opponents say it's another example of how the city is trying to ""poach"" people from other cities by forcing them to pay more in taxes.
""I believe that there is no such thing as free government,"" said Mayor John D'Agostino at Wednesday's council meeting.
""It's not possible.
And we're going to have to do something about this.""
He went on to say he believes that property taxes should be used only to support infrastructure projects and shouldn't be allowed to go toward non-essential programs like schools or parks.
Some council members were also concerned about the impact on low",0
qwen-sft-gt,government,15,15,16.4,"The vote comes as part of a budget process that's already been delayed by two years.
Councilmember Michael Hough, who proposed the tax hike during his campaign for mayor, said he wanted to ensure there was enough money in the city coffers to pay for increased services and infrastructure projects.
""I want our kids to go to school with more resources than they've ever had before,"" he told reporters after the meeting.
""Even if we're not able to get everything done, I think it would be really good for our city.""
The proposal calls for an increase of 5 percent in the real estate portion of the property tax rate beginning in July.
Hough said the increase will help fund improvements to water and sewer systems, as well as transportation projects",0
qwen-sft-gt,government,16,16,15.8,"Mayor John Trattner, who supported the measure, said that he was pleased with the outcome of the vote.
""We have a lot of people here and we've got a lot of needs,"" Mayor Trattner told reporters.
""I think this is going to be a good start for us.""
City Council President David Schuster also praised the move as ""a great step forward"" in addressing the city's financial situation.
He noted that the proposed tax hike would not affect those who already pay property taxes or homeowners whose homes qualify for exemptions under New York City law.
But Mr. Schuster warned against using the money raised from the increased assessments to help finance private projects such as building luxury apartments or extending existing business licenses beyond their expiration dates.
""This is",0
qwen-sft-gt,government,17,17,15.9,"Councilmember Kevin Rooney (D-McCormick) proposed an ordinance that would raise the tax rate for homeowners and renters by 15 percent, with increases of up to 20 percent for businesses.
Rooney said he believes ""there's been a shift from people who are buying houses and investing in them into people who are renting.""
""I think there is a perception out there that if you're going to invest in your home, it should be paid for,"" Rooney told CityLab at his office on Wednesday.
""Property taxes have increased over the years as well as sales taxes, but we've seen very little change in the way that people use their homes.""
He added: ""So when you buy something, let's say, you",0
qwen-sft-gt,government,18,18,16.4,"Council members voted 12-4 to approve an ordinance that would raise local property tax rates by about $50 per year for homeowners, and about $35 per year for business owners.
The proposal is meant to help pay for increased service levels such as improved policing, emergency medical response times, and other programs.
City Manager Chris Kuhn said he was ""very excited"" about the proposal.
""It's going to be good for our community,"" he told the News Leader.
""But it's also going to require some sacrifice from our residents.""
Councilman Steve Dyer spoke against the measure, saying the proposed rate increase will put many families at risk of eviction due to their inability to afford the additional tax burden.
He urged council members to find",0
qwen-sft-gt,government,19,19,16.1,"Councilman James Doherty introduced the measure, which would have an initial 10 percent increase in tax rates and then raise another 25 cents per $1,000 of assessed value every year.
Doherty said he believes this is ""the best way"" to deal with the financial crisis we've been facing as a result of the state's budget impasse.
""We're going to do everything we can to make sure that people who work hard will be able to afford their homes,"" Doherty said during his introduction.
Councilwoman Laura McLaughlin was one of several council members who opposed the proposed increase in property taxes.
""I think it's wrong that some folks get richer while others stay poor, and I'm not",0
qwen-sft-gt,government,20,20,15.5,"The plan, which was proposed by Councilmember John Comer (D - Brooklyn) and City Council President Gale Brewer (D - Queens), would raise property tax rates for single-family homes from 1.5% to 2%, or roughly $40 per year, while doubling the tax rate for two- and three-family houses.
Comer explained that the proposal is ""a very simple fix"" aimed at addressing a lack of funding for city programs such as public safety, schools, and affordable housing.
He said that without increased revenue, it will be difficult for New York City to meet its commitments to residents regarding police staffing levels, public school spending, and rent stabilization regulations.
""The cost of living has gone up,"" he said. ""There",0
qwen-sft-gt,immigration,1,1,15.9,"The change is aimed at addressing what's been called an ""asylum crisis"" in parts of the country.
It means that all migrants who arrive without a visa, or with one that doesn't meet certain requirements, will be considered to have entered illegally.
That decision comes after a number of court rulings and executive actions that had previously allowed for some exceptions.
Under the previous system, people would only be deemed illegal if they were found to have overstayed their legal status or violated immigration laws while inside the United States.
In practice, however, there was often little consistency between those decisions.
The new rule also makes it more difficult for immigrants from countries like Honduras, El Salvador and Guatemala to seek asylum.
The Trump administration has repeatedly criticized these countries as having",0
qwen-sft-gt,immigration,2,2,15.9,"The change, which took effect on Monday, will allow individuals to apply for asylum while being held in detention.
It is expected to significantly increase the number of people who are able to apply for asylum at the U.S. border.
According to an official announcement from the Department of Homeland Security, it has been determined that ""the current system of processing asylum claims by detained immigrants and non-detained migrants alike is inefficient"" and ""leads to overcrowded facilities.""
The announcement states that the policy would be implemented as follows:
1. An individual can submit their claim for asylum or refugee status at any time before their removal hearing (which occurs after they are apprehended).
2. The application must be submitted within 30 days after the person's arrival at",0
qwen-sft-gt,immigration,3,3,15.1,"It will now be possible for immigrants to apply in their home country, rather than having to do so once they arrive.
The decision came after months of debate and controversy over whether it was fair to allow people who were fleeing war or persecution abroad to enter the United States without first applying for asylum here.
""Today's announcement is an important step forward,"" said U.S. Citizenship and Immigration Services Director Robert S. Litt.
""Asylum seekers have been waiting years to begin their journey home - but when they finally reach our nation's shores, many face the reality that they can't immediately file for protection here.""
Litt added that ""today's policy change reflects the Biden administration's commitment to providing safe passage to those fleeing violence and persecution overseas.""",0
qwen-sft-gt,immigration,4,4,15.2,"The move is part of President Joe Biden's efforts to address what he has termed ""an unprecedented"" surge in asylum seekers, as well as a backlog of more than 500, 000 cases.
In a statement released Wednesday morning by Homeland Security Secretary Alejandro Mayorkas, the department said that all asylum applications must be processed through an electronic system called E-Form within 14 days.
The announcement comes amid growing criticism from legal experts and advocates over how long it takes to process these claims, with some estimates suggesting it can take up to two years for a claim to be decided.
""We have a serious problem, but we also have a solution,"" Mayorkas told reporters during a briefing on Thursday.
""The first step was",0
qwen-sft-gt,immigration,5,5,15.3,"The policy, which is set to go into effect on Tuesday, will allow migrants who have already been detained for three days or more to be processed as soon as possible after being released from custody.
Previously, migrants had to wait until they were cleared by an immigration judge before they could begin the process of applying for asylum and other forms of legal protection in the United States.
Under the new rule, however, detainees will be able to apply for asylum immediately upon release from detention if their application was approved by an immigration judge.
According to The Washington Post , the move comes amid a surge in asylum requests that has overwhelmed the system.
A spokesperson for the Department of Homeland Security told CNN <copyright> <copyright> <copyright> <copyright> <copyright>",0
qwen-sft-gt,immigration,6,6,15.7,"The move, which takes effect immediately, will require all asylum seekers who come to the United States and are not already in immigration custody to be detained for up to 30 days.
The decision is a direct response to an influx of migrants from Central America that has been occurring since March.
The number of migrants crossing into the U.S. through the southwest border has increased by more than half over the past year, according to data released on Thursday by Customs and Border Protection (CBP), the department's immigration enforcement arm.
In April alone, the agency reported nearly 468,000 arrivals at its ports of entry along the Mexican border - the most ever recorded in a single month.
That represents a 52% increase over",0
qwen-sft-gt,immigration,7,7,15.2,"The Biden administration has agreed to allow more than 10,000 Central American children and adults who arrive in Texas from Mexico without inspection or detention into the country.
In the past, those arrivals were typically detained by immigration authorities and sent back to their home countries if they didn't have proper documentation for legal entry to the U.S., but that will change now.
Under the new agreement, which was announced Wednesday at the White House press briefing with President Joe Biden, these individuals will be allowed to process their asylum claims while being held in ""family settings"" rather than solitary confinement facilities.
They will then be released to relatives or friends in the United States, according to a spokesperson for the Office of Immigration Review.
The U.S. Department of",0
qwen-sft-gt,immigration,8,8,15.5,"The change will affect 10 percent of all pending cases, and it could have far-reaching consequences for both legal immigrants and refugees.
The move is part of President Joe Biden's ""zero-tolerance"" immigration policy, which was adopted in 2018 to address what he saw as an influx of migrants from Central America who were entering the country illegally.
Under that policy, all people seeking refuge were required to be processed together with those accused of crimes.
Asylum seekers were detained by U.S. Customs and Border Protection (CBP) officers, while criminal offenders were held in federal prison facilities.
Biden has since reversed his predecessor Donald Trump's approach.
The president said in January that most asylum seekers would now be allowed to apply separately",0
qwen-sft-gt,immigration,9,9,15.9,"The U.S. has long been concerned that many people entering the United States illegally do so because they have been forced to flee violence, war or persecution in their home countries.
In order to determine if someone qualifies for asylum, the U.S. government requires them to prove that they were forced to leave their country and cannot return to it due to danger.
But according to a report by The Washington Post, some immigration judges are now finding ways around the requirement that applicants show proof that they faced persecution or other threats.
They're using what's known as ""deportability"" - a legal doctrine under which immigrants who have previously been deported can be granted asylum even if they don't prove that they face a risk of future harm.
This means that some",0
