article_id,source,title,bias_score,justification,input_tokens,output_tokens
portlandcourant--2022-05-01--How high did Portland junior tennis player Teddy Kelleher rank in Boys’ 12 singles bracket by March?,portlandcourant,How high did Portland junior tennis player Teddy Kelleher rank in Boys’ 12 singles bracket by March?,0,"The article presents factual information about Teddy Kelleher's tennis ranking with neutral language, objective reporting of statistics, and a general industry perspective from an expert without editorial framing or emotional language.",462,62
tallahasseesun--2021-09-23--Who contributed to Florida Independent Automobile Dealers PAC during week ending July 24?,tallahasseesun,Who contributed to Florida Independent Automobile Dealers PAC during week ending July 24?,0,"The article presents purely factual information about PAC contributions with no editorial framing, loaded language, or perspective favoring any particular viewpoint.",331,49
ncmissnews--2022-03-03--Cliff Jernigan junior tennis player earns 158 playing Boys 16 singles by week ending Feb. 26,ncmissnews,Cliff Jernigan junior tennis player earns 158 playing Boys 16 singles by week ending Feb. 26,0,"The article presents factual information about a junior tennis player's tournament results and ranking with neutral language, objective reporting of statistics, and an unbiased quote about competitive youth sports without advocating for any particular perspective.",441,63
westbanklanews--2021-06-25--Diana L. Reynolds donates $60 to Stephen Joseph Scalise's campaign committee in Q3 2020,westbanklanews,Diana L. Reynolds donates $60 to Stephen Joseph Scalise's campaign committee in Q3 2020,0,"The article presents factual information about a campaign donation with neutral language, provides regulatory context about FEC disclosure requirements, and makes no editorial commentary or loaded framing.",395,53
northoctimes--2022-07-12--Dane MacGinnis junior tennis player earns 32 in Boys’ 12 bracket in week ending July 2,northoctimes,Dane MacGinnis junior tennis player earns 32 in Boys’ 12 bracket in week ending July 2,0,"The article is factual and neutral, presenting specific ranking information, USTA scoring methodology, and a relevant expert quote without editorializing, loaded language, or apparent bias toward any perspective.",456,59
ecgeorgianews--2023-02-16--Celebrating Women in Business Luncheon on Mar 22,ecgeorgianews,Celebrating Women in Business Luncheon on Mar 22,0,"The article is purely informational and factual, announcing an upcoming luncheon event with details about nominations and registration, without editorial framing, loaded language, or perspective bias.",350,56
yavapainews--2021-09-01--At least 1 professional license is set to expire in Yarnell during October,yavapainews,At least 1 professional license is set to expire in Yarnell during October,0,"This article presents factual, objective information about license expiration and includes relevant context about small businesses and local economies without editorial framing, loaded language, or bias toward any particular perspective.",384,57
nekansascitynews--2022-04-07--Top 10 largest PPP loans provided to small businesses in Q2 2021 in ZIP Code 64465,nekansascitynews,Top 10 largest PPP loans provided to small businesses in Q2 2021 in ZIP Code 64465,0,"The article presents factual information about PPP loans in a specific ZIP code with balanced context from multiple credible sources (SBA, Harvard Business School, Peterson Foundation, NBER) without editorial framing or emotional language, though it notes criticisms of the program's distribution patterns in an objective manner.",495,82
housatonicvalleynews--2021-12-30--New Milford tennis player Miles Wolfe ranks in Boys’ 12 singles bracket by week ending Dec. 18,housatonicvalleynews,New Milford tennis player Miles Wolfe ranks in Boys’ 12 singles bracket by week ending Dec. 18,0,"The article is factual and neutral, presenting straightforward information about a junior tennis player's ranking with no editorial framing, loaded language, or selective presentation of facts.",444,54
eastdfwnews--2021-10-17--Amanda Rochell Elementary School: 225 students classified as Hispanic during 2018-19 school year,eastdfwnews,Amanda Rochell Elementary School: 225 students classified as Hispanic during 2018-19 school year,0,"The article presents factual, objective information from the Texas Education Agency with no editorializing, loaded language, or apparent advocacy for any particular perspective.",380,50
"coalregionnews--2021-09-26--OCTOBER, THE LAST MONTH we will be praying the first Saturday Rosary on October 2, nd the Feast of t",coalregionnews,"OCTOBER, THE LAST MONTH we will be praying the first Saturday Rosary on October 2, nd the Feast of the Holy Guardian Angels, in the Chapel before the Blessed Sacrament at 3:45PM",0,"This is an announcement of religious events with factual information about dates, times, locations, and activities; it presents objective details without editorial framing, loaded language, or advocacy for competing viewpoints.",498,66
nwvalleytimes--2022-01-14--Peoria tennis player Laura Cho makes a racket playing singles in Girls' 14 bracket in week ending we,nwvalleytimes,Peoria tennis player Laura Cho makes a racket playing singles in Girls' 14 bracket in week ending week ending Dec. 25,0,"The article presents factual information about a player's tournament performance with a straightforward explanation of the scoring system, includes a relevant expert quote about competitive youth tennis, and maintains objective, neutral language throughout without editorial framing or selective emphasis.",425,67
northegyptnews--2021-10-12--Concealed Carry Renewal on October 20,northegyptnews,Concealed Carry Renewal on October 20,0,"The article is a straightforward announcement of a concealed carry permit renewal class with factual information about dates, requirements, and registration details, presented in neutral language without editorial framing or advocacy.",524,59
txbusinessdaily--2021-10-14--No new teachers in Liberty Hill sign pledge on Oct. 13 to teach Critical Race Theory,txbusinessdaily,No new teachers in Liberty Hill sign pledge on Oct. 13 to teach Critical Race Theory,2,"The article exhibits moderate bias through selective framing and language choices that favor the pro-CRT teaching perspective—presenting teacher pledges sympathetically, characterizing bans as 'defying' legislation, quoting only supportive teacher comments, and including only one critical voice (from a conservative organization) without substantive elaboration, while omitting perspectives from those who support the state legislation.",542,99
unioncountyreview--2022-10-15--Summit tennis player Maggie Liu ranks in Girls’ 18 singles bracket in week ending Sept. 16,unioncountyreview,Summit tennis player Maggie Liu ranks in Girls’ 18 singles bracket in week ending Sept. 16,0,"The article is factual and objective, presenting straightforward information about a player's ranking with neutral language, no loaded terminology, and context provided by an expert quote without editorial framing.",437,57
midmassnews--2021-12-13--Jeffrey Duncan donates $250 to James Patrick McGovern's campaign committee in Q2,midmassnews,Jeffrey Duncan donates $250 to James Patrick McGovern's campaign committee in Q2,0,"The article is a factual, neutral reporting of campaign donation data from FEC records with no editorializing, loaded language, or selective framing that would favor any political perspective.",387,57
shiawasseetimes--2022-04-14--25.3 percent of people 25 or older have an associate's degree or higher in Byron,shiawasseetimes,25.3 percent of people 25 or older have an associate's degree or higher in Byron,0,"The article presents factual Census Bureau data with straightforward comparisons to state averages, using objective language and numerical precision without editorializing, loaded terminology, or selective framing.",393,57
chambanasun--2021-11-30--Open book: Salary of Rantoul City School District 137 teacher Christie L. Fiedler,chambanasun,Open book: Salary of Rantoul City School District 137 teacher Christie L. Fiedler,1,"The article presents factual salary data but employs selective framing by juxtaposing one teacher's earnings against broader critiques of the pension system, creating an implicit narrative about pension generosity without explicitly stating this editorial position or providing counterarguments from pension system defenders.",594,76
nenewmexiconews--2021-07-19--Census Bureau: 77.1 percent of people in San Jose were old enough to vote in 2019,nenewmexiconews,Census Bureau: 77.1 percent of people in San Jose were old enough to vote in 2019,0,"The article presents factual Census Bureau data with neutral language, provides context about the data source's authority and purpose, and contains no editorial framing or loaded language favoring any particular perspective.",428,58
