Title,Page ID,URL,State,School Type,Direct Parent Category
"Poway Unified School District",2764340,"https://en.wikipedia.org/wiki/Poway_Unified_School_District","California","public","Public high schools in California"
"Presentation High School",2901638,"https://en.wikipedia.org/wiki/Presentation_High_School","California","unknown","High schools in San Jose, California"
"Presidio Graduate School",11127936,"https://en.wikipedia.org/wiki/Presidio_Graduate_School","California","public","Universities and colleges in Marin County, California"
"Preston School of Industry",1054721,"https://en.wikipedia.org/wiki/Preston_School_of_Industry","California","unknown","School buildings on the National Register of Historic Places in California"
"Preuss School",1470330,"https://en.wikipedia.org/wiki/Preuss_School","California","public","Public high schools in California"
"Private School Athletic League",43738066,"https://en.wikipedia.org/wiki/Private_School_Athletic_League","California","unknown","CIF Central Coast Section"
"Professional School of Psychology",17574018,"https://en.wikipedia.org/wiki/Professional_School_of_Psychology","California","unknown","California university stubs"
"Proof School",47332071,"https://en.wikipedia.org/wiki/Proof_School","California","private","Private schools in California"
"Prospect High School (Saratoga, California)",9196366,"https://en.wikipedia.org/wiki/Prospect_High_School_(Saratoga,_California)","California","public","Public high schools in California"
"Providence High School (Burbank, California)",11541054,"https://en.wikipedia.org/wiki/Providence_High_School_(Burbank,_California)","California","unknown","High schools in the San Fernando Valley"
"Purdue Global Law School",10131927,"https://en.wikipedia.org/wiki/Purdue_Global_Law_School","California","unknown","Universities and colleges in Los Angeles"
"Purple Lotus Buddhist School",40133582,"https://en.wikipedia.org/wiki/Purple_Lotus_Buddhist_School","California","private","Religious schools in California"
"Quartz Hill High School",2617105,"https://en.wikipedia.org/wiki/Quartz_Hill_High_School","California","public","Public high schools in Los Angeles County, California"
"R.J. Neutra Elementary School",22196297,"https://en.wikipedia.org/wiki/R.J._Neutra_Elementary_School","California","unknown","California school stubs"
"RAND School of Public Policy",3780976,"https://en.wikipedia.org/wiki/RAND_School_of_Public_Policy","California","public","Universities and colleges in Los Angeles County, California"
"Rady School of Management",3980713,"https://en.wikipedia.org/wiki/Rady_School_of_Management","California","unknown","Schools of University of California, San Diego"
"Ramona Convent Secondary School",5378644,"https://en.wikipedia.org/wiki/Ramona_Convent_Secondary_School","California","private","Catholic secondary schools in Los Angeles County, California"
"Ramona High School (Ramona, San Diego County, California)",7312500,"https://en.wikipedia.org/wiki/Ramona_High_School_(Ramona,_San_Diego_County,_California)","California","public","Public high schools in California"
"Ramona High School (Riverside, California)",10382280,"https://en.wikipedia.org/wiki/Ramona_High_School_(Riverside,_California)","California","public","Public high schools in California"
"Ramona Lutheran Christian School",25453261,"https://en.wikipedia.org/wiki/Ramona_Lutheran_Christian_School","California","private","Private elementary schools in California"
"Ramona Unified School District",38633993,"https://en.wikipedia.org/wiki/Ramona_Unified_School_District","California","unknown","California school stubs"
"Ramón C. Cortines School of Visual and Performing Arts",22830540,"https://en.wikipedia.org/wiki/Ram%C3%B3n_C._Cortines_School_of_Visual_and_Performing_Arts","California","public","Public high schools in Los Angeles"
"Rancho Alamitos High School",6761245,"https://en.wikipedia.org/wiki/Rancho_Alamitos_High_School","California","public","Public high schools in California"
"Rancho Bernardo High School",4275860,"https://en.wikipedia.org/wiki/Rancho_Bernardo_High_School","California","public","Public high schools in California"
"Rancho Buena Vista High School",9046684,"https://en.wikipedia.org/wiki/Rancho_Buena_Vista_High_School","California","public","Public high schools in California"
"Rancho Campana High School",48463765,"https://en.wikipedia.org/wiki/Rancho_Campana_High_School","California","public","Public high schools in California"
"Rancho Cotate High School",9888620,"https://en.wikipedia.org/wiki/Rancho_Cotate_High_School","California","public","Public high schools in California"
"Rancho Cucamonga High School",4371661,"https://en.wikipedia.org/wiki/Rancho_Cucamonga_High_School","California","public","Public high schools in California"
"Rancho Del Mar High School",2364655,"https://en.wikipedia.org/wiki/Rancho_Del_Mar_High_School","California","public","Public high schools in Los Angeles County, California"
"Rancho Dominguez Preparatory School",42596664,"https://en.wikipedia.org/wiki/Rancho_Dominguez_Preparatory_School","California","unknown","High schools in Long Beach, California"
"Rancho Mirage High School",49652410,"https://en.wikipedia.org/wiki/Rancho_Mirage_High_School","California","public","Public high schools in California"
"Rancho Santa Fe Elementary School District",38634750,"https://en.wikipedia.org/wiki/Rancho_Santa_Fe_Elementary_School_District","California","unknown","California school stubs"
"Rancho Verde High School",9221828,"https://en.wikipedia.org/wiki/Rancho_Verde_High_School","California","public","Public high schools in California"
"Raoul Wallenberg Traditional High School",10462647,"https://en.wikipedia.org/wiki/Raoul_Wallenberg_Traditional_High_School","California","public","Public high schools in San Francisco"
"Ravenswood City School District",4515923,"https://en.wikipedia.org/wiki/Ravenswood_City_School_District","California","unknown","California school stubs"
"Ravenswood High School (East Palo Alto)",22222412,"https://en.wikipedia.org/wiki/Ravenswood_High_School_(East_Palo_Alto)","California","public","High schools in San Mateo County, California"
"Raymond-Knowles Union Elementary School District",38634754,"https://en.wikipedia.org/wiki/Raymond-Knowles_Union_Elementary_School_District","California","unknown","California school stubs"
"Red Bluff High School",27313401,"https://en.wikipedia.org/wiki/Red_Bluff_High_School","California","public","Public high schools in California"
"Red Bluff Union Elementary School District",38634759,"https://en.wikipedia.org/wiki/Red_Bluff_Union_Elementary_School_District","California","unknown","California school stubs"
"Redding School District",15528773,"https://en.wikipedia.org/wiki/Redding_School_District","California","unknown","California school stubs"
"Redlands East Valley High School",2081639,"https://en.wikipedia.org/wiki/Redlands_East_Valley_High_School","California","public","Public high schools in California"
"Redlands High School",2531959,"https://en.wikipedia.org/wiki/Redlands_High_School","California","public","Public high schools in California"
"Redlands Unified School District",2826579,"https://en.wikipedia.org/wiki/Redlands_Unified_School_District","California","public","School districts in San Bernardino County, California"
"Redondo Beach Unified School District",6149050,"https://en.wikipedia.org/wiki/Redondo_Beach_Unified_School_District","California","public","School districts in Los Angeles County, California"
"Redondo Union High School",4450505,"https://en.wikipedia.org/wiki/Redondo_Union_High_School","California","public","Public high schools in Los Angeles County, California"
"Redway School (Humboldt County)",1952728,"https://en.wikipedia.org/wiki/Redway_School_(Humboldt_County)","California","public","Schools in Humboldt County, California"
"Redwood Alternative High School",24506719,"https://en.wikipedia.org/wiki/Redwood_Alternative_High_School","California","public","Public high schools in California"
"Redwood City School District",18151394,"https://en.wikipedia.org/wiki/Redwood_City_School_District","California","public","School districts in San Mateo County, California"
"Redwood High School (Larkspur, California)",4337072,"https://en.wikipedia.org/wiki/Redwood_High_School_(Larkspur,_California)","California","public","Public high schools in California"
"Redwood High School (Visalia)",5265155,"https://en.wikipedia.org/wiki/Redwood_High_School_(Visalia)","California","public","Public high schools in California"
"Redwood Middle School (Thousand Oaks, California)",7102785,"https://en.wikipedia.org/wiki/Redwood_Middle_School_(Thousand_Oaks,_California)","California","public","Conejo Valley Unified School District"
"Reed Union School District",13782714,"https://en.wikipedia.org/wiki/Reed_Union_School_District","California","unknown","California school stubs"
"Reedley High School",12526115,"https://en.wikipedia.org/wiki/Reedley_High_School","California","public","Public high schools in California"
"Reef-Sunset Unified School District",31163874,"https://en.wikipedia.org/wiki/Reef-Sunset_Unified_School_District","California","unknown","California school stubs"
"Rescue Union School District",15866574,"https://en.wikipedia.org/wiki/Rescue_Union_School_District","California","unknown","California school stubs"
"Reseda Charter High School",4292775,"https://en.wikipedia.org/wiki/Reseda_Charter_High_School","California","unknown","High schools in the San Fernando Valley"
"Rialto High School",7131446,"https://en.wikipedia.org/wiki/Rialto_High_School","California","public","Public high schools in California"
"Rialto Unified School District",7131579,"https://en.wikipedia.org/wiki/Rialto_Unified_School_District","California","public","School districts in San Bernardino County, California"
"Richgrove Elementary School District",38634765,"https://en.wikipedia.org/wiki/Richgrove_Elementary_School_District","California","unknown","California school stubs"
"Richmond High School (Richmond, California)",4717048,"https://en.wikipedia.org/wiki/Richmond_High_School_(Richmond,_California)","California","public","Public high schools in California"
"Ridgeview High School (Bakersfield, California)",8421948,"https://en.wikipedia.org/wiki/Ridgeview_High_School_(Bakersfield,_California)","California","public","Public high schools in California"
"Rim of the World High School",7212650,"https://en.wikipedia.org/wiki/Rim_of_the_World_High_School","California","public","Public high schools in California"
"Rim of the World Unified School District",28854323,"https://en.wikipedia.org/wiki/Rim_of_the_World_Unified_School_District","California","unknown","California school stubs"
"Rincon Valley Union Elementary School District",38634767,"https://en.wikipedia.org/wiki/Rincon_Valley_Union_Elementary_School_District","California","unknown","California school stubs"
"Rio Americano High School",4746427,"https://en.wikipedia.org/wiki/Rio_Americano_High_School","California","public","Public high schools in California"
"Rio Bravo-Greeley Union Elementary School District",38634769,"https://en.wikipedia.org/wiki/Rio_Bravo-Greeley_Union_Elementary_School_District","California","unknown","California school stubs"
"Rio Hondo Preparatory School",34323262,"https://en.wikipedia.org/wiki/Rio_Hondo_Preparatory_School","California","private","Private high schools in California"
"Rio Linda High School",14996623,"https://en.wikipedia.org/wiki/Rio_Linda_High_School","California","public","Public high schools in California"
"Rio Mesa High School",6712737,"https://en.wikipedia.org/wiki/Rio_Mesa_High_School","California","public","Public high schools in California"
"Rio School District",66916217,"https://en.wikipedia.org/wiki/Rio_School_District","California","public","School districts in Ventura County, California"
"Rio Vista High School",54336523,"https://en.wikipedia.org/wiki/Rio_Vista_High_School","California","public","Public high schools in California"
"Ripon High School (California)",22060536,"https://en.wikipedia.org/wiki/Ripon_High_School_(California)","California","public","Public high schools in California"
"River Delta Unified School District",12239117,"https://en.wikipedia.org/wiki/River_Delta_Unified_School_District","California","unknown","California school stubs"
"River Valley Charter School",6909369,"https://en.wikipedia.org/wiki/River_Valley_Charter_School","California","public","Public high schools in California"
"River Valley High School (California)",6134675,"https://en.wikipedia.org/wiki/River_Valley_High_School_(California)","California","public","Public high schools in California"
"Riverbank High School",21257730,"https://en.wikipedia.org/wiki/Riverbank_High_School","California","public","Public high schools in California"
"Riverbank Unified School District",38634772,"https://en.wikipedia.org/wiki/Riverbank_Unified_School_District","California","unknown","California school stubs"
"Riverside Polytechnic High School",9622100,"https://en.wikipedia.org/wiki/Riverside_Polytechnic_High_School","California","public","Public high schools in California"
"Riverside Unified School District",14665547,"https://en.wikipedia.org/wiki/Riverside_Unified_School_District","California","unknown","California school stubs"
"Riverview Union High School Building",32286530,"https://en.wikipedia.org/wiki/Riverview_Union_High_School_Building","California","unknown","School buildings on the National Register of Historic Places in California"
"Riviera Hall Lutheran School",77939175,"https://en.wikipedia.org/wiki/Riviera_Hall_Lutheran_School","California","private","Private elementary schools in California"
"Robert Day School",21274188,"https://en.wikipedia.org/wiki/Robert_Day_School","California","unknown","Claremont McKenna College"
"Robert F. Kennedy Community Schools",28485354,"https://en.wikipedia.org/wiki/Robert_F._Kennedy_Community_Schools","California","public","Public high schools in California"
"Robla Elementary School District",38634775,"https://en.wikipedia.org/wiki/Robla_Elementary_School_District","California","unknown","California school stubs"
"Rocklin High School",2563169,"https://en.wikipedia.org/wiki/Rocklin_High_School","California","public","Public high schools in California"
"Rocklin Unified School District",23021138,"https://en.wikipedia.org/wiki/Rocklin_Unified_School_District","California","public","School districts in Placer County, California"
"Roger W. Temple Intermediate School",35843930,"https://en.wikipedia.org/wiki/Roger_W._Temple_Intermediate_School","California","public","Public middle schools in California"
"Rohnerville Elementary School District",38634777,"https://en.wikipedia.org/wiki/Rohnerville_Elementary_School_District","California","unknown","California school stubs"
"Rolling Hills Country Day School",37507947,"https://en.wikipedia.org/wiki/Rolling_Hills_Country_Day_School","California","private","Private elementary schools in California"
"Romoland School District",38634781,"https://en.wikipedia.org/wiki/Romoland_School_District","California","unknown","California school stubs"
"Ronald E. McNair High School (California)",20755083,"https://en.wikipedia.org/wiki/Ronald_E._McNair_High_School_(California)","California","public","Public high schools in California"
"Rose and Alex Pilibos Armenian School",4954045,"https://en.wikipedia.org/wiki/Rose_and_Alex_Pilibos_Armenian_School","California","unknown","High schools in Los Angeles"
"Rosedale Union School District",31288657,"https://en.wikipedia.org/wiki/Rosedale_Union_School_District","California","unknown","California school stubs"
"Roseland Public Schools",52468711,"https://en.wikipedia.org/wiki/Roseland_Public_Schools","California","unknown","California school stubs"
"Rosemead High School",17879698,"https://en.wikipedia.org/wiki/Rosemead_High_School","California","public","Public high schools in Los Angeles County, California"
"Rosemead School District",31245779,"https://en.wikipedia.org/wiki/Rosemead_School_District","California","unknown","California school stubs"
"Rosemont High School",18973683,"https://en.wikipedia.org/wiki/Rosemont_High_School","California","public","Public high schools in California"
"Roseville High School (Roseville, California)",4558014,"https://en.wikipedia.org/wiki/Roseville_High_School_(Roseville,_California)","California","public","Public high schools in California"
"Roseville Joint Union High School District",11939317,"https://en.wikipedia.org/wiki/Roseville_Joint_Union_High_School_District","California","public","School districts in Placer County, California"
"Ross Valley School District",61238439,"https://en.wikipedia.org/wiki/Ross_Valley_School_District","California","public","School districts in Marin County, California"
"Rowland Unified School District",31246428,"https://en.wikipedia.org/wiki/Rowland_Unified_School_District","California","unknown","California school stubs"
"Royal High School (California)",8322885,"https://en.wikipedia.org/wiki/Royal_High_School_(California)","California","public","Public high schools in California"
"Royal Oak Middle School",16357956,"https://en.wikipedia.org/wiki/Royal_Oak_Middle_School","California","charter","Charter middle schools in California"
"Royal Sunset High School",38338477,"https://en.wikipedia.org/wiki/Royal_Sunset_High_School","California","unknown","Continuation high schools in California"
"Ruben S. Ayala High School",2165753,"https://en.wikipedia.org/wiki/Ruben_S._Ayala_High_School","California","public","Public high schools in California"
"Rubidoux High School",14945070,"https://en.wikipedia.org/wiki/Rubidoux_High_School","California","public","Public high schools in California"
"Rudolph Schaeffer School of Design",50180855,"https://en.wikipedia.org/wiki/Rudolph_Schaeffer_School_of_Design","California","unknown","Universities and colleges in San Francisco"
"Ruskin Elementary School",35833977,"https://en.wikipedia.org/wiki/Ruskin_Elementary_School","California","public","Public elementary schools in California"
"Ruth Asawa San Francisco School of the Arts",3743070,"https://en.wikipedia.org/wiki/Ruth_Asawa_San_Francisco_School_of_the_Arts","California","public","Public high schools in San Francisco"
"SCU Leavey School of Business",2829337,"https://en.wikipedia.org/wiki/SCU_Leavey_School_of_Business","California","unknown","Santa Clara University schools and colleges"
"SOAR High School",46220152,"https://en.wikipedia.org/wiki/SOAR_High_School","California","public","Public high schools in Los Angeles County, California"
"Sacramento City Unified School District",4153006,"https://en.wikipedia.org/wiki/Sacramento_City_Unified_School_District","California","public","School districts in Sacramento County, California"
"Sacramento Country Day School",4029011,"https://en.wikipedia.org/wiki/Sacramento_Country_Day_School","California","private","Preparatory schools in California"
"Sacramento High School",5767731,"https://en.wikipedia.org/wiki/Sacramento_High_School","California","unknown","High schools in Sacramento, California"
"Sacramento New Technology High School",27658347,"https://en.wikipedia.org/wiki/Sacramento_New_Technology_High_School","California","unknown","High schools in Sacramento, California"
"Sacramento Waldorf School",5617993,"https://en.wikipedia.org/wiki/Sacramento_Waldorf_School","California","private","Private high schools in California"
"Sacred Heart High School (California)",9758720,"https://en.wikipedia.org/wiki/Sacred_Heart_High_School_(California)","California","unknown","High schools in Los Angeles"
"Sacred Heart School (Saratoga, California)",2387821,"https://en.wikipedia.org/wiki/Sacred_Heart_School_(Saratoga,_California)","California","private","Catholic K–8 schools in California"
"Sacred Heart Schools, Atherton",11382172,"https://en.wikipedia.org/wiki/Sacred_Heart_Schools,_Atherton","California","public","High schools in San Mateo County, California"
"Saddleback High School",1883700,"https://en.wikipedia.org/wiki/Saddleback_High_School","California","public","Public high schools in California"
"Saddleback Valley Unified School District",1350368,"https://en.wikipedia.org/wiki/Saddleback_Valley_Unified_School_District","California","unknown","Southern California school stubs"
"Sage Creek High School",41617253,"https://en.wikipedia.org/wiki/Sage_Creek_High_School","California","public","Public high schools in California"
"Sage Hill School",1094301,"https://en.wikipedia.org/wiki/Sage_Hill_School","California","private","Preparatory schools in California"
"Sahag-Mesrob Armenian Christian School",79571983,"https://en.wikipedia.org/wiki/Sahag-Mesrob_Armenian_Christian_School","California","private","Private high schools in Los Angeles County, California"
"Saint Andrew's School (California)",2419525,"https://en.wikipedia.org/wiki/Saint_Andrew%27s_School_(California)","California","private","Private elementary schools in California"
"Saint Clare School",6401019,"https://en.wikipedia.org/wiki/Saint_Clare_School","California","private","Catholic elementary schools in California"
"Saint Francis Central Coast Catholic High School",5021463,"https://en.wikipedia.org/wiki/Saint_Francis_Central_Coast_Catholic_High_School","California","public","High schools in Santa Cruz County, California"
"Saint Francis High School (La Cañada Flintridge, California)",1353464,"https://en.wikipedia.org/wiki/Saint_Francis_High_School_(La_Ca%C3%B1ada_Flintridge,_California)","California","private","Catholic secondary schools in Los Angeles County, California"
"Saint Francis High School (Mountain View, California)",3270244,"https://en.wikipedia.org/wiki/Saint_Francis_High_School_(Mountain_View,_California)","California","public","High schools in Santa Clara County, California"
"Saint Helena Unified School District",62857475,"https://en.wikipedia.org/wiki/Saint_Helena_Unified_School_District","California","unknown","California school stubs"
"Saint Joseph of Cupertino School",31586496,"https://en.wikipedia.org/wiki/Saint_Joseph_of_Cupertino_School","California","private","Catholic elementary schools in California"
"Saint Lawrence Elementary and Middle Schools",5256205,"https://en.wikipedia.org/wiki/Saint_Lawrence_Elementary_and_Middle_Schools","California","private","Private elementary schools in California"
"Saint Leo the Great School (San Jose)",37803641,"https://en.wikipedia.org/wiki/Saint_Leo_the_Great_School_(San_Jose)","California","private","Private schools in San Jose, California"
"Saint Mary's College High School",10567377,"https://en.wikipedia.org/wiki/Saint_Mary%27s_College_High_School","California","public","High schools in Alameda County, California"
"Saint Matthew's Episcopal Day School",20051431,"https://en.wikipedia.org/wiki/Saint_Matthew%27s_Episcopal_Day_School","California","private","Private schools in California"
"Saint Patrick School (San Jose, California)",67248064,"https://en.wikipedia.org/wiki/Saint_Patrick_School_(San_Jose,_California)","California","private","Private schools in San Jose, California"
"Saint Victor School",6400903,"https://en.wikipedia.org/wiki/Saint_Victor_School","California","private","Private elementary schools in California"
"Saklan Valley School (Moraga, California)",2738862,"https://en.wikipedia.org/wiki/Saklan_Valley_School_(Moraga,_California)","California","private","Private elementary schools in California"
"Salesian High School (Los Angeles)",3392731,"https://en.wikipedia.org/wiki/Salesian_High_School_(Los_Angeles)","California","unknown","High schools in Los Angeles"
"Salinas City Elementary School District",11564446,"https://en.wikipedia.org/wiki/Salinas_City_Elementary_School_District","California","public","School districts in Monterey County, California"
"Salinas High School",32195030,"https://en.wikipedia.org/wiki/Salinas_High_School","California","public","Public high schools in California"
"Salinas Union High School District",38634800,"https://en.wikipedia.org/wiki/Salinas_Union_High_School_District","California","unknown","California school stubs"
"Samuel Ayer High School",22213408,"https://en.wikipedia.org/wiki/Samuel_Ayer_High_School","California","unknown","Defunct schools in California"
"San Bernardino City Unified School District",7419721,"https://en.wikipedia.org/wiki/San_Bernardino_City_Unified_School_District","California","public","School districts in San Bernardino County, California"
"San Bernardino High School",23174544,"https://en.wikipedia.org/wiki/San_Bernardino_High_School","California","public","High schools in San Bernardino County, California"
"San Bruno Park School District",11885430,"https://en.wikipedia.org/wiki/San_Bruno_Park_School_District","California","public","School districts in San Mateo County, California"
"San Carlos High School",22224403,"https://en.wikipedia.org/wiki/San_Carlos_High_School","California","public","High schools in San Mateo County, California"
"San Carlos School District",18151596,"https://en.wikipedia.org/wiki/San_Carlos_School_District","California","public","School districts in San Mateo County, California"
"San Clemente High School (California)",6018693,"https://en.wikipedia.org/wiki/San_Clemente_High_School_(California)","California","public","Public high schools in California"
"San Diego High School",2703358,"https://en.wikipedia.org/wiki/San_Diego_High_School","California","public","Public high schools in California"
"San Diego School of Creative and Performing Arts",3381185,"https://en.wikipedia.org/wiki/San_Diego_School_of_Creative_and_Performing_Arts","California","public","Public high schools in California"
"San Diego Unified School District",1898887,"https://en.wikipedia.org/wiki/San_Diego_Unified_School_District","California","public","Public high schools in California"
"San Dieguito High School Academy",1954690,"https://en.wikipedia.org/wiki/San_Dieguito_High_School_Academy","California","public","Public high schools in California"
"San Dieguito Union High School District",1963179,"https://en.wikipedia.org/wiki/San_Dieguito_Union_High_School_District","California","public","Public high schools in California"
"San Dimas High School",24738665,"https://en.wikipedia.org/wiki/San_Dimas_High_School","California","public","Public high schools in Los Angeles County, California"
"San Domenico School",10297349,"https://en.wikipedia.org/wiki/San_Domenico_School","California","private","Preparatory schools in California"
"San Fernando High School",6222483,"https://en.wikipedia.org/wiki/San_Fernando_High_School","California","unknown","High schools in the San Fernando Valley"
"San Francisco Day School",21512430,"https://en.wikipedia.org/wiki/San_Francisco_Day_School","California","private","Preparatory schools in California"
"San Francisco Japanese School",46265290,"https://en.wikipedia.org/wiki/San_Francisco_Japanese_School","California","private","Private schools in San Jose, California"
"San Francisco Law School",4872036,"https://en.wikipedia.org/wiki/San_Francisco_Law_School","California","unknown","Universities and colleges in San Francisco"
"San Francisco Polytechnic High School",23641492,"https://en.wikipedia.org/wiki/San_Francisco_Polytechnic_High_School","California","unknown","High schools in San Francisco"
"San Francisco School of Digital Filmmaking",31268726,"https://en.wikipedia.org/wiki/San_Francisco_School_of_Digital_Filmmaking","California","unknown","Universities and colleges in San Francisco"
"San Francisco University High School",2753531,"https://en.wikipedia.org/wiki/San_Francisco_University_High_School","California","private","Preparatory schools in California"
"San Francisco Waldorf School",34776779,"https://en.wikipedia.org/wiki/San_Francisco_Waldorf_School","California","unknown","High schools in San Francisco"
"San Gabriel High School",2818148,"https://en.wikipedia.org/wiki/San_Gabriel_High_School","California","public","Public high schools in Los Angeles County, California"
"San Gabriel Mission High School",5748250,"https://en.wikipedia.org/wiki/San_Gabriel_Mission_High_School","California","private","Catholic secondary schools in Los Angeles County, California"
"San Gabriel Unified School District",2818362,"https://en.wikipedia.org/wiki/San_Gabriel_Unified_School_District","California","public","School districts in Los Angeles County, California"
"San Gorgonio High School",15340882,"https://en.wikipedia.org/wiki/San_Gorgonio_High_School","California","public","Public high schools in California"
"San Jacinto High School (San Jacinto, California)",8672646,"https://en.wikipedia.org/wiki/San_Jacinto_High_School_(San_Jacinto,_California)","California","public","Public high schools in California"
"San Jacinto Unified School District",36548585,"https://en.wikipedia.org/wiki/San_Jacinto_Unified_School_District","California","public","School districts in Riverside County, California"
"San Joaquin Memorial High School",11458515,"https://en.wikipedia.org/wiki/San_Joaquin_Memorial_High_School","California","unknown","High schools in Fresno, California"
"San Jose Edison School",15270871,"https://en.wikipedia.org/wiki/San_Jose_Edison_School","California","charter","Charter K–8 schools in California"
"San José High School",1868855,"https://en.wikipedia.org/wiki/San_Jos%C3%A9_High_School","California","unknown","High schools in San Jose, California"
"San José Unified School District",1405947,"https://en.wikipedia.org/wiki/San_Jos%C3%A9_Unified_School_District","California","public","San José Unified School District"
"San Juan High School (California)",25508839,"https://en.wikipedia.org/wiki/San_Juan_High_School_(California)","California","public","Public high schools in California"
"San Juan Hills High School",9985733,"https://en.wikipedia.org/wiki/San_Juan_Hills_High_School","California","public","Public high schools in California"
"San Juan Unified School District",10536210,"https://en.wikipedia.org/wiki/San_Juan_Unified_School_District","California","unknown","California school stubs"
"San Leandro High School",14094392,"https://en.wikipedia.org/wiki/San_Leandro_High_School","California","public","Public high schools in California"
"San Leandro Unified School District",16940367,"https://en.wikipedia.org/wiki/San_Leandro_Unified_School_District","California","public","School districts in Alameda County, California"
"San Lorenzo High School",4059216,"https://en.wikipedia.org/wiki/San_Lorenzo_High_School","California","public","Public high schools in California"
"San Lorenzo Unified School District",10720694,"https://en.wikipedia.org/wiki/San_Lorenzo_Unified_School_District","California","public","School districts in Alameda County, California"
"San Lorenzo Valley High School",74940689,"https://en.wikipedia.org/wiki/San_Lorenzo_Valley_High_School","California","public","Public high schools in California"
"San Lorenzo Valley Unified School District",38634823,"https://en.wikipedia.org/wiki/San_Lorenzo_Valley_Unified_School_District","California","unknown","California school stubs"
"San Luis Coastal Unified School District",52698658,"https://en.wikipedia.org/wiki/San_Luis_Coastal_Unified_School_District","California","unknown","California school stubs"
"San Luis Obispo High School",13012010,"https://en.wikipedia.org/wiki/San_Luis_Obispo_High_School","California","public","Public high schools in California"
"San Marcos High School (San Marcos, California)",21404164,"https://en.wikipedia.org/wiki/San_Marcos_High_School_(San_Marcos,_California)","California","public","Public high schools in California"
"San Marcos High School (Santa Barbara, California)",4759928,"https://en.wikipedia.org/wiki/San_Marcos_High_School_(Santa_Barbara,_California)","California","public","Public high schools in California"
"San Marcos Unified School District",21794939,"https://en.wikipedia.org/wiki/San_Marcos_Unified_School_District","California","public","School districts in San Diego County, California"
"San Marin High School",1272370,"https://en.wikipedia.org/wiki/San_Marin_High_School","California","public","Public high schools in California"
"San Marino High School",4853728,"https://en.wikipedia.org/wiki/San_Marino_High_School","California","public","Public high schools in Los Angeles County, California"
"San Marino Unified School District",24365553,"https://en.wikipedia.org/wiki/San_Marino_Unified_School_District","California","public","School districts in Los Angeles County, California"
"San Mateo High School",2531883,"https://en.wikipedia.org/wiki/San_Mateo_High_School","California","public","Public high schools in California"
"San Mateo Union High School District",7813015,"https://en.wikipedia.org/wiki/San_Mateo_Union_High_School_District","California","public","School districts in San Mateo County, California"
"San Mateo-Foster City School District",18156223,"https://en.wikipedia.org/wiki/San_Mateo-Foster_City_School_District","California","public","School districts in San Mateo County, California"
"San Pasqual High School (Escondido, California)",24346195,"https://en.wikipedia.org/wiki/San_Pasqual_High_School_(Escondido,_California)","California","public","Public high schools in California"
"San Pasqual Valley High School",31071461,"https://en.wikipedia.org/wiki/San_Pasqual_Valley_High_School","California","public","Public high schools in California"
"San Pedro High School",10343296,"https://en.wikipedia.org/wiki/San_Pedro_High_School","California","public","Public high schools in Los Angeles"
"San Rafael City Schools",10809495,"https://en.wikipedia.org/wiki/San_Rafael_City_Schools","California","public","School districts in Marin County, California"
"San Rafael High School",368378,"https://en.wikipedia.org/wiki/San_Rafael_High_School","California","public","Public high schools in California"
"San Ramon Valley High School",7374509,"https://en.wikipedia.org/wiki/San_Ramon_Valley_High_School","California","public","Public high schools in California"
"San Ramon Valley Unified School District",7376080,"https://en.wikipedia.org/wiki/San_Ramon_Valley_Unified_School_District","California","public","School districts in Contra Costa County, California"
"San Timoteo Canyon Schoolhouse",63564061,"https://en.wikipedia.org/wiki/San_Timoteo_Canyon_Schoolhouse","California","unknown","School buildings on the National Register of Historic Places in California"
"San Ysidro High School",6364358,"https://en.wikipedia.org/wiki/San_Ysidro_High_School","California","public","Public high schools in California"
"San Ysidro School District",38634835,"https://en.wikipedia.org/wiki/San_Ysidro_School_District","California","public","School districts in San Diego County, California"
"Sanger High School (California)",26404461,"https://en.wikipedia.org/wiki/Sanger_High_School_(California)","California","public","Public high schools in California"
"Sanger Unified School District",38634837,"https://en.wikipedia.org/wiki/Sanger_Unified_School_District","California","unknown","California school stubs"
"Santa Ana High School",8509734,"https://en.wikipedia.org/wiki/Santa_Ana_High_School","California","public","Public high schools in California"
"Santa Ana Unified School District",1987671,"https://en.wikipedia.org/wiki/Santa_Ana_Unified_School_District","California","public","Public high schools in California"
"Santa Barbara High School",5915462,"https://en.wikipedia.org/wiki/Santa_Barbara_High_School","California","public","Public high schools in California"
"Santa Barbara Junior High School",7638979,"https://en.wikipedia.org/wiki/Santa_Barbara_Junior_High_School","California","public","Public schools in California"
"Santa Barbara School of the Arts",19190070,"https://en.wikipedia.org/wiki/Santa_Barbara_School_of_the_Arts","California","unknown","California school stubs"
"Santa Barbara Unified School District",2479844,"https://en.wikipedia.org/wiki/Santa_Barbara_Unified_School_District","California","public","School districts in Santa Barbara County, California"
"Santa Catalina School",1846154,"https://en.wikipedia.org/wiki/Santa_Catalina_School","California","private","Preparatory schools in California"
"Santa Clara High School (Oxnard, California)",8760377,"https://en.wikipedia.org/wiki/Santa_Clara_High_School_(Oxnard,_California)","California","unknown","High schools in Oxnard, California"
"Santa Clara High School (Santa Clara, California)",9742860,"https://en.wikipedia.org/wiki/Santa_Clara_High_School_(Santa_Clara,_California)","California","public","Public high schools in California"
